ZIP,Y,X
2102,42.362536,-71.047703
2103,42.363928,-71.048695
2104,42.361259,-71.050255
2105,42.36488,-71.052127
2106,42.357299,-71.057312
2107,42.357854,-71.058943
2108,42.358664,-71.071293
2109,42.361951,-71.06368
2110,42.35819,-71.050678
2111,42.351267,-71.064699
2112,42.334565,-71.016681
2113,42.365976,-71.05308
2114,42.360587,-71.065447
2115,42.341535,-71.094458
2116,42.347026,-71.074793
2117,42.342166,-71.073298
2118,42.339502,-71.07359
2119,42.324911,-71.086303
2120,42.334141,-71.097433
2121,42.306015,-71.084811
2122,42.297038,-71.054735
2123,42.34394,-71.085266
2124,42.286139,-71.070555
2125,42.313703,-71.062976
2126,42.27469,-71.089937
2127,42.335966,-71.048716
2128,42.383079,-71.018049
2129,42.374451,-71.06581
2130,42.31248,-71.109068
2131,42.28473,-71.127697
2132,42.280101,-71.158408
2133,42.354273,-71.065367
2134,42.358096,-71.130571
2135,42.351555,-71.157958
2136,42.25281,-71.129122
2137,42.235076,-71.134469
